id,latin_word,czech_translation
3009,modo,odnedávna (nejlepší v DHC 312:8 ; RS 58:15)
3010,modo,"před chvílí, nedávno"
3011,modo,"teď, nyní	nejlepší v RS 49:2, ač Pražák neuvádí"
3012,modo,"teď, nyní (nejlepší RS 42:7 a 49:2, ač Pražák neuvádí)"
3013,modo,"teď, odnedávna [toto se zdá nejlepší v DHC 312:8, ač Pražák neuvádí]"
3014,modo,"za okamžik, ve chvilce"
3015,modo + gen.,"po způsobu, způsobem"
3016,modo - modo,"brzy... brzy, hned... hned"
3017,modo meliori,"co nejlépe, nejlépe"
3018,modus,"míra (nástroj i rozměr) ; takt, rytmus ; melodie, nápěv, píseň, harmonie ; míra, pravá míra, náležitá míra, uměřenost, umírněnost ; způsob ; pravidlo"
3019,modus,výměra
3020,Moesi,"Moesové, národ v nynějším Srbsku a Bulharsku	Pražák."
3021,Moesiacus,moesský (takto v ČJ Pražák ; související s Moesií či Moesy)
3022,molimentum,námaha
3023,molita cribaria,mouka
3024,molo,mlíti
3025,moneo,"upomínat, upozorňovat, napomínat"
3026,monitio,napomenutí
3027,Mons Alionis m.,(geogr.) Montaillou	DZ ex Fournier
3028,Mons Guimari,"Montwimers (tj. Mont-Aimé v Champagne, ale výklady jsou různé)"
3029,Mons Securus m.,Montségur
3030,montana,"horské krajiny, hornatina, pahorkatina"
3031,mora,"prodlení, meškání"
3032,moram interpono,zdržovat
3033,morans,"prodlévající, zůstávající ; přinejmenším ve střv. latině i bydlící, sídlící, dlící, žijící"
3034,Moravia,"Morava (ve Střední Evropě) ; Morava (ve Skotsku, viz Nitze, Perlesvaus II, 97)"
3035,morbus,nemoc ; slabost
3036,morior,"zemřít, umírat"
3037,moror,"meškati, prodlévati, zdržovati se"
3038,moror,"sídlit (DZ ex RS 50:6) ; prodlévat, zdržovat se, meškat ; zdržovat koho ; prodlužovat, protahovat ; upoutat (zrak apod.) ; (zápor.) neváhat ; nil moror alqd.: nemám nic proti tomu, nedbám o co"
3039,moror,"zdržovat se, přestat, podléhat"
3040,mors necessaria f.,přirozená smrt
3041,mors,smrt ; mrtvola ; krev
3042,Mors,"Smrt, bohyně smrti"
3043,mors,způsob smrti
3044,morsum,"kousek, kousíček"
3045,morsus,"kousnutí, štípnutí, uštknutí ; kousání, jedení čeho ; rozštěp (dřeva) ; bolest (kousavá, hlodavá), palčivost, ostrost"
3046,mortale peccatum n.,smrtelný hřích
3047,mos,zvyk
3048,moveo,"hýbat se, pohybovat se ; hýbat, pohybovat, pohnout čím ; dát se na pochod, táhnout dál, přesunout se ; potřásat, třást ; vrtět ; připravovat, chystat ; hýbat se, mít se k dílu ; (pas.) vlnit se ; zahnat, zatlačit, odstranit, vyloučit	Pražák"
3049,moveo,"působit na koho, činit dojem na koho ; dojímat koho ; znepokojovat, soužit koho ; budit strach, (pas.) strachovat se ; popouzet, rozčilovat, dráždit, pobuřovat ; uvádět v pohyb, podněcovat, způsobovat, budit ; měnit	Pražák"
3050,Moymir,Mojmír
3051,ms.,"rukopis, rkp.	zkr."
3052,multitudo,"množství, veliký počet ; množství lidí, lid, dav, obyvatelstvo ; prostý lid, luza"
3053,multo die,když již den pokročil
3054,multociens,"mnohokrát, často	klas. multotiens"
3055,multotiens,"mnohokrát, často"
3056,multoties,"mnohokrát, často"
3057,multus,"mnohý, četný ; velký, veliký, značný ; důkladný, obšírný, rozvláčný"
3058,mundanus,světový
3059,mundialis,"světský, pozemský	sic, světový Pražák jen pod mundanus"
3060,munio,"chránit, krýt"
3061,munio,"zakládat opevnění, opevňovat, opatřovat hradbou, ohradit ; stavět, vystavět ; dělat pevným, schůdným, pevně stavět ; chránit, krýt co"
3062,munitio,"opevnění, hradba"
3063,munus,dar
3064,munus,"povinnost, služba, dar"
3065,murus,"zeď, hradba ; násep ; záštita, ochrana (význam stěna Pražák neudává, viz paries)"
3066,mustela,lasička
3067,mustella,lasička
3068,mutilus,"s tupými rohy, zkomolený"
3069,naenia,"pohřební píseň, žalozpěv ; kouzelné říkadlo, kouzelnická píseň ; píseň, popěvek"
3070,nam,"opravdu, zajisté, ano ; neboť, vždyť (ve větách oznam. i táz) ; totiž (vysvětlovací) ; -pak (kdopak apod.)"
3071,namque,"opravdu, zajisté, ano ; neboť, vždyť, tak například"
3072,namque,totiž
3073,nanciscor,"dostat, nalézt"
3074,nanciscor,"náhodou nalézt, dostat"
3075,nanciscor,"náhodou nalézt, dostat, získat"
3076,Naretani,Neretvané
3077,nascor,"narodit se, vyrůstat"
3078,nasus,"nos ; čich, jemný čich ; jemný vkus, vytříbený vkus, vytříbený úsudek"
3079,natalis,narození se týkající
3080,nativus,přirozený
3081,natura loci,přírodní podmínky
3082,natura,přirozenost
3083,natura,"ráz, přirozená povaha"
3084,naturalis,"pravý (asi ; MLLM naturales monachi, naturales carnifices, fr. pleinement qualifié, angl. fully authorized)	MLLM"
3085,naturalis,"přirozený, přírodní ; rodný (bratr) ; týkající se přírody"
3086,naturalis,"založený na zrodu (""rex naturalis"" cca dědičný král, ""servitium naturale"" zrodem podmíněná služba, např. o dítěti otroka či zaslíbenci) ; nevlastní (o potomkovi ; vyvozeno z výrazu bâtard aj.: výraz ""natural child"" ibid. je, soudě podle LL, dvojznačný)	MLLM"
3087,naturaliter,"(MLLM přímo nic, viz ""naturalis"")"
3088,naturaliter,"od přírody, přírodou ; přirozeně, sám od sebe (Pražák ; význam ""očividně"" nenal., ""pokud jde o podstatu, ve své podstatě"" taky ne)"
3089,navicula,loďka
3090,navigatio,plavba
3091,navigium,"loď, plavidlo"
3092,navis longa,válečná loď
3093,naxia,provinění
3094,ne ... quidem,ani
3095,nec,"a ne, ani"
3096,nec,"ale ne, avšak ne, ale přece ne"
3097,nec ideo,avšak proto přece
3098,nec virgines festinantur,s provdáním dívek se nespěchá (Tacitus)
3099,necessarie,"nutně ; s logickou nutností, přesvědčivě, nutně"
3100,necessario,bezpodmínečně	IZ
3101,necessario,"nevyhnutelně, nutně"
3102,necessario,"nutně, nevyhnutelně ; z donucení, proti své vůli"
3103,necessarius,"přítel, blízký"
3104,necessitas,"nutnost, nevyhnutelnost, neodvratnost ; naléhavost, tíseň, nouze (nouze DZ) ; nutná potřeba, nutné vydání ; pouto, svazek, poměr"
3105,necessitudo,"přátelství, těsný poměr"
3106,necnon,"a ne, ani ; a tedy ne, tudíž ne ; avšak ne, ale přece ne"
3107,necnon,"a, i, a také, a zajisté také [Pražák odkazuje na neque, kde má drobné heslo nec non = a zajisté také, i, a také ; jde očividně o negaci záporu, tj. důrazné vyjádření kladu. Tak to alespoň chápu. Doplnil bych ""jakož i"".]"
3108,Neemia,Nehemjáš	jedna z podob
3109,neglego,"nestarat se, nedbat"
3110,nego,"popírat, zapírat ; říci ne, dát odmítavou odpověď, pravit, že ne, tvrdit, že ne ; odpírat komu co, upírat komu co ; nedat, nedopřát (pokoje) ; stáhnout (plachty)"
3111,nego,"zapírat, tvrdit že ne"
3112,negotium,"práce, zaměstnání, činnost, úkol"
3113,negotium,"práce, zaměstnání, úkol"
3114,negotium,"věc, záležitost, práce"
3115,nempe,"ovšem, arci, zajisté, patrně"
3116,nenia,"pohřební píseň, žalozpěv ; kouzelné říkadlo, kouzelnická píseň ; píseň, popěvek"
3117,nepos,"vnuk ; synovec, příbuzný vůbec ; potomek ; mrhač, marnotratník, zhýralec"
3118,neqauquam,"nikterak ne, naprosto ne"
3119,nequam,"ničemný, špatný, darebný, zlotřilý	nesklon."
3120,neque,"ale ne, avšak ne, ale přece ne atd."
3121,neque autem,vskutku ne
3122,neque enim,vždyť přece ne
3123,nequeo,"nebýt s to, nemoci"
3124,nequitia,"ničemnost, špatnost, darebnost ; lehkomyslnost, marnotratnost, zhýralost, bujnost ; šibalství"
3125,nervus,"síla, jádro, podstata, šlacha"
3126,nervus,"sval, síla, jádro, podstata, šlacha"
3127,nescio,nevědět ; neznat ; neumět
3128,nescius,"neznalý, nezkušený	DZ ex Fournier I, 335"
3129,neu = neve,"ani, nebo, aby ne"
3130,neve,ani
3131,Nicolaus,Mikuláš
3132,nihil novi,nic nového
3133,nihilo,o nic
3134,nihilo secius,"nicméně, přece"
3135,nichil,(viz nihil)
3136,nimia,krajnosti
3137,nimirum,"rozhodně, bezpochyby, očividně"
3138,nimis,"velice, nesmírně (DZ) ; nadmíru, příliš"
3139,nimius,"převeliký, nesmírný, neobyčejně veliký ; přílišný, překračující míru, nadměrný"
3140,ningere (3. os. ningit n. ninguit),"sněžit, chumelit, padat (o sněhu)"
3141,ningit,"padá sníh, sněží, chumelí"
3142,ningor,"sněžení, padání sněhu"
3143,nisi,kromě
3144,nisi,"leč, leda, než"
3145,nisi,leda
3146,nisi forte,"leda snad (DZ ; z Pražáka to nepřímo vyplývá, viz sub ""forte"")"
3147,niteo,"lesknout se, hýřit"
3148,nitor,"usilovat, snažit se"
3149,nitor,"usilovat, namáhat se"
3150,nitor,opírat se (i nepřeneseně) ; spoléhat se na co ; usilovat
3151,nivis,(viz nix)
3152,nix,sníh
3153,noctu,"za noci, v noci"
3154,nodus,"kloub, koleno"
3155,nolo,"nechtít ; nebýt nakloněn čemu ; kéž by ne, chraň bůh"
3156,nomen capere,vzít si příklad
3157,nomen tantum,pouhé jméno
3158,nominatim,"jmenovitě, výslovně, jménem"
3159,non coniuges,"nemanželé	DZ ex Fournier I, 303"
3160,non dubitare,"nepochybovat, být přesvědčen"
3161,non item,"ne však, nikoli však"
3162,non item,"nikoli však, ale ne"
3163,non mediocriter,"nikoliv nepatrně, značně, velice"
3164,non recordari de pluri,"na víc si nevzpomínat	Fournier I, 275"
3165,nondum,ještě ne
3166,nondum,"ještě ne, dosud ne"
3167,nonnulus,(MLLM nic)
3168,nonnulus,"(význam ""mnozí"" Pražák ani Šenková neuvádějí ; WEH překlad anonpojed také ne, ale Duvernoy anonpojed ano)"
3169,nonnulus,"nikoli nepatrný, dosti značný ; v pl. někteří"
3170,nonnumquam,"někdy, leckdy"
3171,nonnus,důstojný otec (zejm. v oslovení: nonne)
3172,Norici,Bavoři	Havlík 66
3173,norma,"řehole ; mnišské společenství, řád	MLLM"
3174,nota,věz
3175,notabilis,"význačný, znatelný, nápadný, patrný ; pamětihodný ; významný, velký, značný (toto DZ)"
3176,notabiliter,"jasně, nápadně, znatelně (v RS 50:25 např. ""notabiliter sciendum"", tj. něco jako ""je třeba vědět se vší jasností"") ; význačně, významně"
3177,notandum,důležité	DZ
3178,notandum,je třeba poznamenat	DZ
3179,notarius,"notář (MLLM jasně uvádí, ač ne jako samostatný význam slova, jen ve spojeních ""notarius regis, imperatoris"" aj. a ""notarius publicus"" ; u n. p. je pozn.: 1. výskytu ve 12. stol. Je tu i výklad: pův. písař, později soudní úředník)"
3180,notarius,"písař (královský, u soudu, na úřadě, mnich věnující se v klášteře psaní atd.) ;"
3181,notarius,"písař ; tajemník ; rychlopisec, stenograf, písař užívající značkového písma ; notář (neklas. ; DZ)"
3182,notitia,známost
3183,noto,"poznamenávat, poznamenat, zaznamenat ; vnímat, pozorovat, vidět, zaznamenat (smyslově) ; udělit důtku, vytýkat, kárat ; vystavovat posměchu ; činit narážky na koho"
3184,notus,známý
3185,novicius,"novic ; nováček, nový ; nový otrok"
3186,Novigentensis,z Nogentu
3187,novissima spes f.,poslední naděje
3188,novissime,nakonec (??? snad)
3189,novissimo,"nakonec (MLLM ; přiklad neuveden a angl. i fr. ekvivalent znamená jak ""nakonec"", tak ""konečně"", tj. nevím)	adv."
3190,novissimus,(MLLM jen novissimo)
3191,novissimus,"poslední [tak např. Int. Ioh. a Vg Iz 48,12.] ; nejhlubší (pekelná jáma)"
3192,novissimus,"poslední, nejmladší ; místně poslední, nejzazší, koncový, krajní ; nejhorší	Pražák"
3193,novissimus,"zadní, poslední"
3194,novitas,"novost, neobyčejnost, nebývalost"
3195,Novum castrum n.,Nové Hrady ; Newcastle	geogr. ; LMALB
3196,novum,"novota, novinka"
3197,novus,nový
3198,nubo,"provdat, vdát"
3199,nudi homines cum ferro,nazí lidé v okovech (označení pro kajícné poutníky)
3200,nudo corpore pugnare,bojovat bez štítů
3201,nudus,"nahý, obnažený"
3202,nullo modo,nijak
3203,numen,vůle
3204,numquid,cožpak?	Pražák nic
3205,nuncius,posel
3206,nuncupatus,nazývaný
3207,nuntius,"poselství, zpráva"
3208,nuper,nedávno
3209,nuper,"nedávno ; kdysi, před časem"
3210,nutrix,kojná
3211,nutus,pokyn
3212,nux,ořech
3213,ob,"pro, za, kvůli, proto, pročež"
3214,ob,"před (místně) ; pro, kvůli ; proti, kolem (předpona)"
3215,ob hanc causam,z té příčiny
3216,ob hoc,proto
3217,obaeratus,dlužník
3218,obedio,(viz oboedio)
3219,obeo,"jít ; zajít, zaniknout, zemřít, zesnout ; obcházet, procestovat ; jít kolem, táhnout se kolem, lemovat ; projít, probrat ; podnikat, konat ; zastávat, vykonávat, obstarávat"
3220,obfero,"naskytnout se, objevit se, dát se na pospas"
3221,obfero,"postavit se, dát se na pospas"
3222,obfero,"prokázat, způsobit"
3223,obicio,postavit proti nepříteli
3224,obicio,"postavit, předhodit, hodit, nastavit"
3225,obicio,"vydáti na postas, postavit proti nepříteli"
3226,obiurgo,"kárat, napomínat"
3227,objurgo,viz obiurgo
3228,oblique,"šikmo, stranou"
3229,obliviscor,zapomenout
3230,obmitto,(viz omitto)
3231,oboedienter,"poslušně, ochotně"
3232,oboedientia,"funkce (mnicha, zejm. pověřeného vnějšími záležitostmi, správou grangie apod.) ; pozemek (patřící ke klášteru) ; okrsek ; duchovní moc (MLLM doslovně takto)	Pražák, MLLM ; přímo círk. obedience apod. tu není"
3233,oboedientia,poslušnost (Pražák nic víc) ; disciplína ; (mnišský) slib poslušnosti ; úkol (uložený mnichovi či kanovníkovi na základě slibu poslušnosti) ; hodnost (mnicha či kanovníka) ;
3234,oboedio,"poslouchat, být poslušen, dopřávat sluchu ; podlehnout (DZ ex RS 57:8 obedire peccato)"
3235,oboedio,"(alci) poslouchat koho, být poslušen koho ; (alci) dopřávat sluchu komu	Pražák, tam nic víc ; MLLM nic, ale hodně pod oboe"
3236,oboedire praecepto,uposlechnout příkazu
3237,obsecundo,"podporovat, být přízniv, přispívat ; podřídit se"
3238,observo,"dbát, zachovávat"
3239,observo,"dbát, zachovávat, počítat"
3240,observo,"pozorovat co, dívat se na co ; dávat pozor na co ; vnímat ; číhat na co, hlídat ; počítat ; dbát čeho, zachovávat co ; ctít co, vážit si čeho"
3241,observo,"pozorovat, respektovat, dozírat"
3242,obses,"rukojmí, záruka"
3243,obses,rukojmí
3244,obsessio,"obležení, uzavření, obklíčení"
3245,obsidibus de pecunia caveo,"zaručit se rukojmími, že složí peníze"
3246,obsidio,"tíseň, obklíčení, uzavření"
3247,obsigno,pečetí opatřit
3248,obstringo,zavázat
3249,obtempero,"poslouchat, podrobit se"
3250,obtempero,"podřídit se, poslouchat"
3251,obtempero,"poslouchat, být poslušen, podřídit se, podrobit se"
3252,obtineo,"držet, mít, zastávat, zaujímat"
3253,obtineo,"držeti, zaujímati, zastávat"
3254,obtineo,"získat, nabýt, mít v držení"
3255,obviam,"vstříc, před (na otázku kam)"
3256,occasio,příležitost (k čemu s gen.)	Pražák nic víc!
3257,occasus,západ
3258,occido,"padnout, zahynout"
3259,occido,"zabít, usmrtit"
3260,occisio,popravování	DZ
3261,Occitania,"(geogr.) Okcitánie (např. Christophorus Sandius, Nucleus historiae ecclesiasticae..., 390)"
3262,occitanus,"okcitánský	Fournier I, 121"
3263,occulo,"zakrýt, skrýt, zatajit"
3264,occultatio,"zatajování, skrývání"
3265,occulto,"skrývat, zatajit"
3266,occultum,"skrytost, tajnost"
3267,occupatio,"obsazení, zaměstnání, zájem"
3268,occupatio,"úloha, činnost, zaměstnání"
3269,occupatus,zaměstnaný
3270,occurro,pospíchat
3271,occurro,"pospíchat, běžet, potkat"
3272,ocior,"rychlejší, hbitější"
3273,odiosus,"nenáviděný, protivný, odporný, nepříjemný"
3274,odium iustum,oprávněná nenávist
3275,odium,nenávist
3276,offendo,"dotknout, narazit"
3277,offendo,"setkat se s někým, narazit, dotknout se"
3278,offendo,"narazit (něčím do něčeho) ; vrazit, narazit ; setkat se s někým ; mít nehodu, dostat se do neštěstí ; dotknout se koho, urazit koho ; budit nevoli, vzbuzovat pohoršení ; horšit se nad čím"
3279,offensio,urážka
3280,offero,"přivést (např. k Bohu ; 1P 3,18 a Moneta 61a)"
3281,offero,"nést vstříc, nastavovat, podávat ; prokázat (komu co), způsobit ; naskytnout se, objevit se, namanout se ; jít naproti, vstát ; vydat, dát na pospas, vystavit"
3282,officium,"služba ; konání, úkon, práce ; služby Boží (v pl.) ; úřad, funkce ; zaměstnání ; povinnost ; smysl pro povinnost"
3283,OFM,"minorité, menší bratři (Ordo fratrum minorum)	zkr."
3284,OFP,"dominikáni, řád bratří kazatelů (Ordo fratrum praedicatorum)	zkr."
3285,olim,"dříve (v některých kontextech vhodné, např. RS 58:15)"
3286,olim,"kdysi ; nedávno, před nějakým časem"
3287,olim,v minulosti	DZ ; vhodné RS 49:19
3288,olorinus,labutí
3289,omitto,"pustit, opustit ; vzdát se, zanechat čeho, nechat stranou, nechat bez trestu, pustit ze zřetele ; mlčky přejít, pominout, opomenout co, nezmínit se o čem, nemluvit o čem"
3290,omnes,"celkem (spojení ""sunt XVI omnes"" je to dobré překládat ""je jich celkem 16"")	DZ"
3291,omnia necessaria,"vše potřebné	Fournier I, 294"
3292,omnia que in eis sunt,"vše, co je v nich [ČEP Sk 4,24 ; 14,15.]"
3293,omnimo,"celkem, všeho všudy"
3294,omnino,"celkem ; vůbec ; vůbec jen ; úplně, zcela, dočista, nadobro ; ovšem (částice jisticí a připouštějící)	Pražák nic víc"
