id,czech_word,english_translation
4012,kupní cena,cost price
4013,kupní smlouva,contract of purchase
4014,kurát,"curate, assistant priest, parochial vicar, associate/assistant pastor"
4015,polní kurát,army chaplain
4016,kurděje,scurvy
4017,kurent,German cursive hand (paieog.)
4018,kurfiřt,elector (ofthe Holy Roman Empire)(hist.)
4019,kůzle,kid
4020,kvardián,guardian
4021,kvartána,see malárie čtyřdenní
4022,květinářka,"florist (female), flower girl"
4023,kvitance,"quittance, receipt"
4024,kvitovat,"to receipt, to confirm receipt"
4025,kýla,hemia
4026,kyrysar,"cuirassier (hist., milit.)"
4027,kyrysník,see kyrysar
4028,laciný,"inexpensive, cheap"
4029,lada,fallow
4030,ležet ladem,to lie fallow
4031,lafeta,gun-carriage
4032,laický,"lay, laic"
4033,laik,"layman, laic"
4034,lakýrník,"painter, decorator"
4035,lamač (kamene),"quarrier, stoneworker, quarryman"
4036,kostelní lavice,pew
4037,školní lavice,"form (in school), see also škamna"
4038,laxírka,see úplavice střevní
4039,leč,hunt
4040,léčba,see léčení
4041,léčení,"therapy, treatment"
4042,papežský legát,papal legate
4043,legionář,legionnaire
4044,legitimační karta,legitimation card
4045,legitimita,legitimacy
4046,legitimní,legitimate
4047,lékárník,"pharmacist, chemist, see also apatykář (male)"
4048,lektor,"1. lector 2. reader, copyrighter"
4049,lem,bordure (heral.)
4050,lenní,feudal
4051,lenní pán,"feudal lord, lord suzerain, see also feudál (hist.)"
4052,lepenice,rnud-wall
4053,lesnictví,"forestry, woodcraft"
4054,léta,(= years) age
4055,bouřlivá léta,storrny years
4056,léta Páně,"in the year of God/Our Lord, (A.O.)"
4057,léta panování (pontifikátu),regnal years
4058,leták,"see jednolistový tisk, also letáček"
4059,letnice,"Whitsun, Pentecost"
4060,letopis,sing. annales
4061,letopočet,"era, epoch"
4062,starý letopočet,old style
4063,letos,this year
4064,leukémie,"leucemia, see also nádor zhoubný mízní a krvetvorné tkáně"
4065,levirát,"in Jewish community, duty of man to marry a widow of his deceased brother, if she had no children"
4066,levný,see laciný
4067,levoboček,"bastard, left descendant"
4068,ležet,to lie
4069,lexikon,lexicon
4070,statistický lexikon obcí,statistic lexikon of localities
4071,zeměpisný lexikon,geografie lexikon
4072,lhůta,"time allowance, deadline"
4073,líbánky,honeymoon
4074,moravská libra,"Moravian pound (= 1/100 of Moravian centnýř = 32 Moravian lots = 128 Moravian kventlíks = 0,56 kg)"
4075,vídeňská libra,Viennese pound (= 32 lots)
4076,líc,"right side, face"
4077,líčení,see soudní líčení
4078,lid,"1. people, folk 2. population"
4079,lidovláda,popular government
4080,lidové hlasování,plebiscite
4081,lidový soud,magistrate's court
4082,lidová správa,people's administration69
4083,lidskost,humanity
4084,lidský,human
4085,mužská linie,male line
4086,pobočná linie,branch/collateral line
4087,přímá linie,direct line
4088,vedlejší linie,see pobočná linie
4089,lípa,linden
4090,lipová ratolest,linden spray
4091,list,"1. letter 2. leaf, folio, sheet 3. epistle"
4092,list uzavřený,letters close
4093,vůdčí list,see řidičský průkaz
4094,listinář,"collection of diplomatic documents, edited in a critical way"
4095,litera zákona,by the letter of the law
4096,litera nedělní,dominical/Sunday letter (chron.)
4097,literární,literary
4098,literární historik,literary historian
4099,literát,see spisovatel
4100,literátka,see spisovatelka
4101,literatura,literature
4102,livrej,livery
4103,lnářství,flax-growing
4104,loď,"boat, vessel, ship"
4105,lojovník,tallower
4106,loňského roku,see loni
4107,loučné,hay-fields (term used in landed records)
4108,louka,"meadow, green/grass/hay-field"
4109,loupež,robbery
4110,lov,chase
4111,lues,lues
4112,luna,Moon
4113,lůno,womb
4114,Lužice,Lusatia
4115,lužický,Lusatian
4116,Lužický Srb,Lusatian Sorb
4117,Lužičan,Lusatian
4118,lyceum,lyceum (formerly in Bohemia a girls' school)
4119,magacín,"magazine (hist., coll.)"
4120,magisteriát,master's degree
4121,regulovaný magistrát,regulated municipality
4122,magnetofonový záznam,tape record
4123,magnificence,Magnificence (title ofrector of a university)
4124,machinace,intrigue
4125,máj,see květen
4126,majáles,May festival (of students)
4127,majestát,majesty
4128,Rudolfův majestát,the Letter of Majesty of Rudolf
4129,majetník,"owner, proprietor, possessor (hist.), see also vlastník, držitel and majitel"
4130,majetný,"wealthy, well-to-do"
4131,majitel,"holder, keeper, owner, see also držitel and vlastník (male)"
4132,majitelka,"holder, keeper, owner, see also držitel and vlastník (female)"
4133,makarónština,macaronics
4134,makléř,broker
4135,maminka,"mamma, mommy (co!!.)"
4136,man,vassal
4137,mandant,client
4138,mandel,unit of calculation (= one quarter of a sixty)
4139,manévry,"manoeuvre, field-day"
4140,na manévrech,on manoeuvres
4141,manifest,manifesto
4142,manuál,manual (book)
4143,radní manuál,manual oftown council
4144,manžel,"husband, consort, spouse"
4145,brát si za manžela (manželku),to marry ap.
4146,vzít si za manžela (manželku),to marry ap.
4147,manželka,"wife, consort, spouse"
4148,zákonná manželka,legitimate wife
4149,morganatická manželka,see morganatický
4150,smíšené manželství,mixed marriage
4151,uzavřít manželství,see uzavřít
4152,zákonné manželství,legitimate marriage
4153,gal,connubial
4154,manželské pouto,marital/conjugal bond
4155,narozen z manželského lože,bom in lawful wedlock
4156,rozloučení manželského společenství při zachování svazku,marital separation
4157,mapa,map
4158,markýza,"marquise, marchioness (British Islands)"
4159,masakr,massacre
4160,matice,cultural foundation (hist.)
4161,matka,mother
4162,matčina linie,matriline
4163,matčina strana,see matčina linie
4164,Matka Boží,Mother of God
4165,matka představená,Mother Superior
4166,nevlastní matka,see macecha
4167,matrika,"1. register (e.g. parish r., university r.)"
4168,církevní matrika,Church register
4169,státnímatrika,"state register of births, marriages and deaths"
4170,máz,capacity measure (metro!.)
4171,český máz,"Bohemian máz(= 1,4151)"
4172,medicína,"medicine, see also lékařství"
4173,medikus,see lékař (hist.)
4174,mědiryt(ina),"copper-engraving, copper-plate"
4175,měďák,copper coin
4176,mechanik,"mechanic, engineer"
4177,měknutí mozku,see paralýza progresívní
4178,mendikant,subst. mendicant (rel.)
4179,mendikantský,aqj. mendicant (rel.)
4180,menšina,minority
4181,měřice,1. square measure (metro!.)
4182,moravská měřice,Moravian měřice(= 8 Moravian achtls = 700 Moravian square sáhs)
4183,moravská měřice,Moravian měřice
4184,vídeňská měřice,Viennese měřice (= 8 achtls)
4185,měřička,cubic measure (metro!.)
4186,česká měřička,"Bohemian měřička(= 1/16 of Bohemian korec= 12 žejdlíks = 5,849 )"
4187,měřit,to measure
4188,vyměřit,"to mark out, to plot out"
4189,měřítko,scale
4190,"mesaliance, mezaliance",mésalliance
4191,mesiáš,Messiah
4192,nový měsíc,see novoluní
4193,měsíčky,"menses, menstruation"
4194,městka,see žíla křečová
4195,město,"town, borough, city"
4196,hlavní město,capital (city)
4197,královské město,royal town/borough
4198,věčné město,Etemal city (Rome)
4199,věnné město,dowry town
4200,vrchnostenské město,"(= landlorďs market town) private/tributary town, subject town, see also městečko"
4201,městečko,1. market town77 or township (hist.)
4202,městská čtvrť,see čtvrť
4203,městská rada,"borough council, municipal/town council"
4204,městský obvod,ward
4205,městský úřad,municipality
4206,měšťan,burgher/burgess (hist.)
4207,erbovní měšťan,see erbovník l.
4208,metr,metre/meter
4209,metrák,see metrický cent
4210,mikrofilm,microfilm
4211,mikrofiš,microfiche
4212,milá,"sweetheart, girlfriend, true love"
4213,česká míle,Bohemian mile(= 365 fathoms)
4214,milec,"favourite, minion"
4215,milenec,"lover, paramour"
4216,Boží milost,Divine grace
4217,z Boží milosti,by the grace of God
4218,milostivý,gracious
4219,milostnice,"mistress, paramour"
4220,milostné dobrodružství,see milostná pletka
4221,milostný poměr,love affair
4222,milostný vztah,affection
4223,milovaný,beloved
4224,milovat,"to love, to be in love"
4225,milý,"sweetheart (male), boyfriend, true love"
4226,mincmistr,master ofthe mint
4227,mincovna,mint
4228,ministerstvo,ministry
4229,klíčové ministerstvo,key ministry
4230,ministr,minister
4231,ministr zahraničních věcí,minister of foreign affairs
4232,minuskula,minuscule (paleog.)
4233,humanistická minuskula,humanist minuscule
4234,karolinská minuskula,Caroline minuscule
4235,(paleog.) minuta,minute mír peace
4236,délková míra,linear measure
4237,mírka,cubic measure (metro!.)
4238,česká mírka,see česká měřička
4239,vídeňská mírka,"Viennese mírka(= 1/32 of Viennese měřice = 1,92 )"
4240,misál,missal
4241,m1S1e,mission
4242,misijní,adj. missionary
4243,misionářský,see misijní
4244,místní,local
4245,místní jméno,place-name
4246,místnost,room
4247,královský místodržící,royal govemor
4248,místopřísežné prohlášení,affidavit
4249,miškař,"gelder, castrator"
4250,mít v držení,to hold in possession
4251,mitra,mitre/miter
4252,mizina,poverty
4253,přijít na mizinu,to go on the rocks
4254,mlád,see mladý (hist.)
4255,mládek,brewery hand or mill hand (hist.)
4256,starý mládenec,see starý
4257,mládež,youth
4258,mládí,youth
4259,(Svatých) Mláďátek,"Holy Innocents' Day, Chil- dermas (December 28)"
4260,mlékař,"milk seller, dairyman"
4261,mlékařka,"milk seller (female), dairywoman"
4262,větrný mlýn,wind-mill
4263,mlynář,miller
4264,mlynářka,miller's wife
4265,mnich,"monk, friar (of Mendicant Orders)"
4266,mniška,see řádová sestra
4267,mnišský,monastic
4268,mnohorodička,polygravida
4269,mnohoženství,polygamy
4270,mobiliář,movables
4271,moc,power
4272,modlitebna,house of prayer
4273,mononukleóza infekční,mononucleosis (med.)
4274,monstrproces,show-tria
4275,monument,monument
4276,mor dýmějový,bubonic plague
4277,morálka,morality
4278,Morava,Moravia
4279,Velká Morava,Greater Moravia
4280,Moravák,see Moravan
4281,Moravské markrabství,Margraviate ofMoravia
4282,morganát,a child born from morganatic wedlock (left-handed)
4283,morganatický,morganatic
4284,morganatický sňatek,morganatic marriage
4285,morganatickámanželka,morganatic wife
4286,mormon,"Latter-day Saint, Mormon"
4287,morový,"adj. plaguey, plague"
4288,mortalita,see úmrtnost
4289,most,bridge
4290,motolice,liver-fluke
4291,motyka,hoe
4292,movitý majetek,movables
4293,mravní,moral
4294,mrtev,see mrtvý
4295,mrtvice srdeční,"heart attack, see also vmetek"
4296,mrtvéjablko,"(=,,dead apple"") see malomocenství"
4297,mrtvý plod,see plod
4298,mrť,1. see malomocenství 2. dead soil (hist.)
4299,mrzák,"cripple, see also invalida"
4300,msta,"revenge, vengeance"
4301,krevní msta,blood feud
4302,mučírna,torture chamber
4303,mučit,to torture
4304,muzeum,museum
4305,muzikant,mus1cran
4306,muž,1. man 2. husband
4307,mužatka,virago
4308,mydlárna,soap factory
4309,polní myslivec,"jager (literally hunter, member of elite light infantry)"
4310,mýtný,tollman
4311,mzda,"wage(s), salary"
4312,náboženský,religious
4313,náboženská snášenlivost,see náboženská tolerance
4314,náboženská svoboda,see svoboda
4315,náboženská tolerance,religious toleration
4316,hospodářský nábytek,agricultural chattels (hist.)
4317,nacista,subst. Nazi
4318,nádor zhoubnýz tukové tkáně,liposarcoma(med)
4319,nadosmrti,for life
4320,náhrobní deska,1. tomb slab 2. brass (esp. that
4321,náhrobní kámen,see náhrobek
4322,náhrobní nápis,"inscription on a tombstone, also see epitaf"
4323,nakladatel,publisher
4324,nálevna,bar-room
4325,nalezenec,foundling
4326,Nalezení sv. Kříže,Invention ofthe Holy Cross (May 3)
4327,nalezinec,foundling hospital (hist.)
4328,nalodit,to embark
4329,námel,ergot
4330,namlouvat,"to woo, to make a pass(es) at, to walk/ go out with"
4331,námluvčí,see dohazovač
4332,námluvy,"courting, wooing"
4333,Nanebevstoupení Páně,"the Ascension of our Lord, Holy Thursday"
4334,Nanebevzetí Panny Marie,the Assumption of Our Lady (August 15)
4335,nápad,"1. reversion, descent, esp. claim, right to a portion (hist.) 2. idea"
4336,nápadník,1. person presenting his (her) right to a portion (hist.) 2. wooer
4337,nápis na pomníku,monumental inscription
4338,naposledy,"last, for the last time"
4339,napošik,see šikmé dělení
4340,náprstník,thimble maker
4341,napřesrok,"following year, after one year"
4342,nápucha,see rozedma plic
4343,narace,exposition ofthe particular circumstances involved (dipl.)
4344,zříci se nároku,to abandon a claim
4345,narození,"birth, nativity"
4346,Narození sv. Jana Křtitele,Nativity/Birth ofSt. John the Baptist (June 24)
4347,Narození Panny Marie,Nativity/Birth ofOur Lady (September 8)
4348,narozeniny,birthday
4349,narozený,bom
4350,mrtvě narozený,still-bom
4351,nářadí,tools
4352,hospodářské nářadí,"agricultural equipment, see also svršky"
4353,následník trůnu,"successor to the throne, see also korunní princ"
4354,následující,see příští
4355,nástin,outline
4356,nastoupit na trůn,"to ascend the throne, to come the throne"
4357,nastoupit vládu,to assume power
4358,natěrač,"painter, vamisher, polisher, glazer"
4359,nátisk,imprint (lib.)
4360,nátlak,"pressure, compulsion"
4361,platit v naturáliích,to pay in kind
4362,náves,common (land)
4363,navěky,forever
4364,návrat,return
4365,Navštívení Panny Marie,the Visitation of Our Lady (July 2)
4366,nazelenice,see žloutenka
4367,název,"title (of a work, a book), name (ofa town), trade name (of a firm)"
4368,doplněný název,supplied title (lib.)
4369,nazítří,tomorrow
4370,názvosloví,"terminology, nomenclature"
4371,nazývat se,to be called
4372,nebe,heaven
4373,nebozezář,drill maker
4374,nebožka,deceased woman
4375,nebožtík,"deceased man, decedent"
4376,nebylo mu (dítěti) na čase,see dítě nebylo dono- šené
4377,nečitelný,illegible
4378,nedatovaný,"dateless, without date"
4379,neděle,Sunday
4380,Černá neděle,see Smrtná neděle
4381,neděle Devítník,Septuagesima (the 9th before Easter)
4382,neděle po Devítníku,Sexagesirna (the 8 before Easter)
4383,neděle průvodní,see neděle provodní
4384,neděle Septuaginta,Septuagint
4385,nedělní,adj. Sunday
4386,nedomykavost chlopní,valvular insufliciency
4387,nedonošenost,immaturity
4388,nedonošený,"premature, immature (baby)"
4389,nedostatek,"1. lack, insufliciency, shortage 2. see nemoc"
4390,nedošlý v životě mateřském,see mrtvý plod
4391,nejmladší,youngest
4392,nejstarší,"eldest, oldest"
4393,nekřtěňátko,unbaptized childe (a child which died before its baptism)(hist.)
4394,vysvědčení o nemajetnosti,means test
4395,nemanželský,"adj. bastard, illegitimate"
4396,nemoc,"disease, illness, sickness"
4397,nemoc anglická,see křivice
4398,nemoc boulová,see mor (dýmějový)
4399,nemoc boží,see boží nemoc
4400,nemoc ranná,1. see komplikace šestinedělí
4401,nemoc svatého Antonína,see opar pásový
4402,nemoc svatého Ondřeje,see dna
4403,nemoc štítné žlázy,disease of thyroid gland
